Time,TimeInd,PopDensity,Total,BacteriaNum,GenCLogLog,CLogLog
0,0,0.022,49,1.078,0.028259711,0.038681092
16,1,0.052,55,2.86,0.048099449,0.05914993
32,2,0.082,57,4.674,0.080181793,0.089932008
48,3,0.154,64,9.856,0.130122516,0.135538665
64,4,0.196,61,11.956,0.204067108,0.20157234
80,5,0.312,57,17.784,0.306616255,0.293848639
96,6,0.36,49,17.64,0.437239532,0.415936185
112,7,0.625,64,40,0.58634722,0.564440984
128,8,0.753,49,36.897,0.734331501,0.723229195
144,9,0.867,61,52.887,0.85741869,0.862673183
160,10,0.928,55,51.04,0.939507089,0.953512445
