Age,Total,Menarche,ActualRate,CLogLog,GenCLogLog,Logit
10.83,120,2,0.016666667,0.082450572,0.013915443,0.032384589
11.08,90,2,0.022222222,0.101901559,0.028231113,0.047215008
11.33,88,5,0.056818182,0.125617868,0.052253276,0.068357182
11.58,105,10,0.095238095,0.154362022,0.0888909,0.097992821
11.83,111,17,0.153153153,0.188940157,0.140024061,0.138565765
12.08,100,16,0.16,0.230149443,0.205773995,0.192355143
12.33,93,29,0.311827957,0.278691873,0.284195173,0.26070559
12.58,100,39,0.39,0.335045533,0.371527412,0.343027877
12.83,108,51,0.472222222,0.399288648,0.462910735,0.436013952
13.08,99,47,0.474747475,0.47088257,0.55329888,0.533728531
13.33,106,67,0.632075472,0.548440922,0.638281372,0.628921758
13.58,105,81,0.771428571,0.629544484,0.714618327,0.715056067
13.83,117,88,0.752136752,0.710700091,0.780431499,0.787938401
14.08,98,79,0.806122449,0.787567865,0.835108607,0.846188942
14.33,97,90,0.927835052,0.855558068,0.879032882,0.890659206
14.58,120,113,0.941666667,0.91078231,0.913250584,0.923435463
14.83,102,95,0.931372549,0.951122853,0.939158979,0.946971601
15.08,122,117,0.959016393,0.97694931,0.958259131,0.963558189
15.33,111,107,0.963963964,0.99098469,0.971986474,0.975093164
15.58,94,92,0.978723404,0.997209022,0.981612317,0.983041219
15.83,114,112,0.98245614,0.999354745,0.988200521,0.988482916
